Condition,Degradation_Type,Precision,q_hat,Matched_Detections,Mean_Confidence,Mean_Nonconformity,Coverage_Rate,Coverage_Violation
blur_1,blur,FP32,0.6771,653,0.6552,0.3448,0.9051,0
blur_1,blur,FP16,0.6628,660,0.6581,0.3419,0.897,1
blur_1,blur,INT8,0.667,656,0.6682,0.3318,0.9131,0
blur_2,blur,FP32,0.6771,552,0.6533,0.3467,0.9275,0
blur_2,blur,FP16,0.6628,557,0.6557,0.3443,0.9138,0
blur_2,blur,INT8,0.667,557,0.6637,0.3363,0.9138,0
blur_3,blur,FP32,0.6771,450,0.6273,0.3727,0.9178,0
blur_3,blur,FP16,0.6628,455,0.6274,0.3726,0.8835,1
blur_3,blur,INT8,0.667,443,0.6436,0.3564,0.9165,0
jpeg_90,jpeg,FP32,0.6771,684,0.6562,0.3438,0.9006,0
jpeg_90,jpeg,FP16,0.6628,688,0.6584,0.3416,0.891,1
jpeg_90,jpeg,INT8,0.667,688,0.6655,0.3345,0.8881,1
jpeg_70,jpeg,FP32,0.6771,662,0.6539,0.3461,0.9139,0
jpeg_70,jpeg,FP16,0.6628,659,0.6616,0.3384,0.8877,1
jpeg_70,jpeg,INT8,0.667,658,0.6705,0.3295,0.9103,0
jpeg_50,jpeg,FP32,0.6771,636,0.6505,0.3495,0.923,0
jpeg_50,jpeg,FP16,0.6628,644,0.6542,0.3458,0.9022,0
jpeg_50,jpeg,INT8,0.667,644,0.6633,0.3367,0.913,0
noise,noise,FP32,0.6771,479,0.6311,0.3689,0.8956,1
noise,noise,FP16,0.6628,479,0.6321,0.3679,0.8977,1
noise,noise,INT8,0.667,483,0.6379,0.3621,0.8965,1
