model,condition,detections,mean_conf,std_conf,fps
FP32,clean,367,0.318,0.086,5.5
FP32,blur_sigma1,3284,0.566,0.187,9.0
FP32,blur_sigma2,2948,0.555,0.183,6.8
FP32,blur_sigma3,2342,0.536,0.179,8.0
FP32,jpeg_q90,3379,0.565,0.187,8.7
FP32,jpeg_q70,3339,0.564,0.186,8.7
FP32,jpeg_q50,3248,0.558,0.186,8.6
FP32,gaussian_noise,2792,0.514,0.171,9.3
FP16,clean,3404,0.571,0.188,10.1
FP16,blur_sigma1,3294,0.569,0.188,24.7
FP16,blur_sigma2,2940,0.557,0.183,25.0
FP16,blur_sigma3,2317,0.536,0.185,26.4
FP16,jpeg_q90,3377,0.57,0.187,26.3
FP16,jpeg_q70,3356,0.566,0.189,25.4
FP16,jpeg_q50,3293,0.558,0.189,25.5
FP16,gaussian_noise,2755,0.518,0.171,26.2
INT8,clean,2121,0.7,0.117,19.0
INT8,blur_sigma1,3269,0.574,0.192,28.6
INT8,blur_sigma2,2918,0.564,0.189,29.3
INT8,blur_sigma3,2276,0.547,0.191,28.8
INT8,jpeg_q90,3351,0.576,0.19,29.3
INT8,jpeg_q70,3316,0.573,0.191,28.9
INT8,jpeg_q50,3261,0.566,0.192,29.7
INT8,gaussian_noise,2767,0.526,0.175,28.9
