model,confidence,correct
INT8,0.9028671979904175,1
INT8,0.8417925834655762,1
INT8,0.6234359741210938,0
INT8,0.5672250390052795,1
INT8,0.4109686613082886,1
INT8,0.3494720458984375,1
INT8,0.27486318349838257,0
INT8,0.26555392146110535,1
INT8,0.250227689743042,1
INT8,0.9213011860847473,1
INT8,0.32653144001960754,1
INT8,0.9099210500717163,1
INT8,0.9349913597106934,1
INT8,0.8997686505317688,1
INT8,0.7525695562362671,1
INT8,0.45224863290786743,0
INT8,0.4358592927455902,1
INT8,0.37816768884658813,0
INT8,0.8652804493904114,1
INT8,0.7059566974639893,1
INT8,0.5658093094825745,1
INT8,0.5631977915763855,1
INT8,0.5207735896110535,1
INT8,0.40413156151771545,1
INT8,0.3565155565738678,0
INT8,0.3536151945590973,0
INT8,0.2918948233127594,0
INT8,0.2685193717479706,1
INT8,0.56787109375,1
INT8,0.53173828125,0
INT8,0.8310546875,1
INT8,0.798828125,1
INT8,0.427978515625,1
INT8,0.712890625,1
INT8,0.6572265625,1
INT8,0.6103515625,1
INT8,0.465087890625,1
INT8,0.75146484375,1
INT8,0.65625,1
INT8,0.62744140625,1
INT8,0.888671875,1
INT8,0.269287109375,0
INT8,0.91357421875,1
INT8,0.8701171875,1
INT8,0.5078125,0
INT8,0.368896484375,1
INT8,0.30615234375,1
INT8,0.296142578125,1
INT8,0.266357421875,1
INT8,0.9013671875,1
INT8,0.84326171875,1
INT8,0.8203125,1
INT8,0.52392578125,1
INT8,0.50634765625,1
INT8,0.3349609375,0
INT8,0.265380859375,1
INT8,0.90771484375,0
INT8,0.650390625,1
INT8,0.5009765625,0
INT8,0.91650390625,1
INT8,0.81201171875,1
INT8,0.67724609375,0
INT8,0.548828125,1
INT8,0.94384765625,1
INT8,0.890625,1
INT8,0.84228515625,1
INT8,0.78125,1
INT8,0.69140625,1
INT8,0.67041015625,1
INT8,0.476318359375,1
INT8,0.354248046875,0
INT8,0.28662109375,1
INT8,0.28466796875,0
INT8,0.92822265625,1
INT8,0.8759765625,1
INT8,0.3203125,0
INT8,0.87353515625,1
INT8,0.304443359375,1
INT8,0.7314453125,1
INT8,0.669921875,1
INT8,0.330322265625,0
INT8,0.3193359375,1
INT8,0.290283203125,1
INT8,0.2666015625,0
INT8,0.92822265625,1
INT8,0.85693359375,1
INT8,0.8525390625,1
INT8,0.83935546875,1
INT8,0.8203125,1
INT8,0.548828125,0
INT8,0.5,0
INT8,0.49609375,1
INT8,0.439208984375,0
INT8,0.421142578125,1
INT8,0.40283203125,1
INT8,0.372802734375,1
INT8,0.361572265625,1
INT8,0.350830078125,1
INT8,0.332763671875,1
INT8,0.308349609375,1
INT8,0.26953125,1
INT8,0.261474609375,0
INT8,0.25830078125,0
INT8,0.89453125,1
INT8,0.88427734375,1
INT8,0.8759765625,1
INT8,0.7919921875,1
INT8,0.59375,1
INT8,0.52099609375,1
INT8,0.5078125,0
INT8,0.476806640625,1
INT8,0.453857421875,1
INT8,0.84912109375,1
INT8,0.84326171875,1
INT8,0.8271484375,1
INT8,0.68994140625,1
INT8,0.56787109375,1
INT8,0.339599609375,1
INT8,0.29345703125,1
INT8,0.251953125,1
INT8,0.955078125,1
INT8,0.94287109375,1
INT8,0.802734375,1
INT8,0.587890625,1
INT8,0.89501953125,1
INT8,0.767578125,1
INT8,0.76318359375,0
INT8,0.75537109375,1
INT8,0.68359375,1
INT8,0.4453125,0
INT8,0.41162109375,0
INT8,0.380859375,1
INT8,0.365478515625,0
INT8,0.334228515625,0
INT8,0.74462890625,0
INT8,0.6025390625,0
INT8,0.59814453125,1
INT8,0.48291015625,0
INT8,0.393798828125,0
INT8,0.3515625,0
INT8,0.313232421875,1
INT8,0.310302734375,0
INT8,0.306396484375,0
INT8,0.301513671875,0
INT8,0.91259765625,1
INT8,0.7890625,1
INT8,0.65576171875,1
INT8,0.5859375,1
INT8,0.403076171875,0
INT8,0.377685546875,1
INT8,0.34912109375,1
INT8,0.89990234375,1
INT8,0.8037109375,1
INT8,0.5859375,1
INT8,0.40478515625,1
INT8,0.3291015625,1
INT8,0.62841796875,1
INT8,0.5498046875,1
INT8,0.49609375,1
INT8,0.462890625,0
INT8,0.359619140625,1
INT8,0.2734375,1
INT8,0.263671875,1
INT8,0.263671875,0
INT8,0.84326171875,1
INT8,0.9560546875,1
INT8,0.9404296875,1
INT8,0.91748046875,1
INT8,0.8974609375,1
INT8,0.343505859375,1
INT8,0.29736328125,1
INT8,0.261474609375,0
INT8,0.8818359375,1
INT8,0.71435546875,1
INT8,0.66064453125,1
INT8,0.6025390625,1
INT8,0.302490234375,0
INT8,0.916015625,1
INT8,0.88720703125,1
INT8,0.88134765625,1
INT8,0.869140625,1
INT8,0.35595703125,1
INT8,0.80810546875,1
INT8,0.385498046875,0
INT8,0.33740234375,0
INT8,0.288330078125,0
INT8,0.90625,1
INT8,0.76806640625,0
INT8,0.7509765625,1
INT8,0.7451171875,1
INT8,0.73046875,1
INT8,0.65966796875,1
INT8,0.60595703125,1
INT8,0.57470703125,1
INT8,0.5537109375,1
INT8,0.537109375,1
INT8,0.47412109375,1
INT8,0.471923828125,1
INT8,0.45556640625,1
INT8,0.410888671875,1
INT8,0.41015625,1
INT8,0.39990234375,1
INT8,0.388427734375,0
INT8,0.356201171875,1
INT8,0.3212890625,0
INT8,0.3154296875,0
INT8,0.303466796875,0
INT8,0.291015625,1
INT8,0.27685546875,1
INT8,0.260498046875,0
INT8,0.9462890625,1
INT8,0.90771484375,1
INT8,0.84423828125,1
INT8,0.66259765625,1
INT8,0.5703125,1
INT8,0.50537109375,1
INT8,0.39990234375,1
INT8,0.321044921875,1
INT8,0.833984375,0
INT8,0.93701171875,1
INT8,0.873046875,1
INT8,0.85986328125,1
INT8,0.8505859375,1
INT8,0.75390625,1
INT8,0.63232421875,1
INT8,0.6298828125,1
INT8,0.405029296875,1
INT8,0.379638671875,1
INT8,0.2978515625,0
INT8,0.295654296875,0
INT8,0.260986328125,0
INT8,0.7763671875,1
INT8,0.376953125,0
INT8,0.25927734375,1
INT8,0.73779296875,0
INT8,0.7119140625,1
INT8,0.6396484375,0
INT8,0.619140625,1
INT8,0.6171875,1
INT8,0.61181640625,1
INT8,0.6015625,1
INT8,0.5966796875,0
INT8,0.5537109375,1
INT8,0.537109375,1
INT8,0.52197265625,0
INT8,0.5126953125,1
INT8,0.4970703125,0
INT8,0.4931640625,1
INT8,0.461181640625,0
INT8,0.359619140625,1
INT8,0.359130859375,1
INT8,0.3310546875,1
INT8,0.299072265625,0
INT8,0.289306640625,0
INT8,0.284912109375,0
INT8,0.28076171875,1
INT8,0.26318359375,1
INT8,0.255859375,0
INT8,0.873046875,1
INT8,0.642578125,1
INT8,0.5625,1
INT8,0.54833984375,1
INT8,0.47705078125,1
INT8,0.41650390625,1
INT8,0.396240234375,0
INT8,0.25341796875,0
INT8,0.70751953125,1
INT8,0.402587890625,1
INT8,0.91015625,1
INT8,0.78662109375,1
INT8,0.73095703125,0
INT8,0.712890625,1
INT8,0.358154296875,0
INT8,0.3515625,1
INT8,0.9208984375,1
INT8,0.8037109375,1
INT8,0.68408203125,0
INT8,0.285400390625,0
INT8,0.268798828125,0
INT8,0.9013671875,1
INT8,0.7529296875,1
INT8,0.685546875,1
INT8,0.92919921875,1
INT8,0.91015625,1
INT8,0.857421875,1
INT8,0.736328125,1
INT8,0.6728515625,1
INT8,0.60791015625,0
INT8,0.513671875,1
INT8,0.50146484375,1
INT8,0.4951171875,1
INT8,0.489990234375,0
INT8,0.451904296875,0
INT8,0.413818359375,0
INT8,0.346923828125,0
INT8,0.3369140625,0
INT8,0.310791015625,1
INT8,0.298095703125,1
INT8,0.267578125,1
INT8,0.264404296875,0
INT8,0.251708984375,0
INT8,0.361328125,0
INT8,0.3359375,0
INT8,0.333740234375,0
INT8,0.95068359375,1
INT8,0.93603515625,1
INT8,0.82666015625,1
INT8,0.78955078125,1
INT8,0.414794921875,1
INT8,0.794921875,1
INT8,0.7802734375,1
INT8,0.76416015625,1
INT8,0.56787109375,1
INT8,0.478515625,1
INT8,0.45751953125,1
INT8,0.4306640625,1
INT8,0.427001953125,1
INT8,0.41259765625,1
INT8,0.38525390625,1
INT8,0.340087890625,1
INT8,0.334228515625,1
INT8,0.313232421875,0
INT8,0.301513671875,1
INT8,0.2880859375,1
INT8,0.7939453125,1
INT8,0.7890625,0
INT8,0.52783203125,0
INT8,0.364990234375,0
INT8,0.301513671875,1
INT8,0.921875,1
INT8,0.5498046875,0
INT8,0.4970703125,1
INT8,0.2880859375,0
INT8,0.744140625,1
INT8,0.7236328125,1
INT8,0.288330078125,1
INT8,0.90625,1
INT8,0.89501953125,1
INT8,0.876953125,1
INT8,0.61572265625,1
INT8,0.515625,1
INT8,0.41162109375,1
INT8,0.295166015625,1
INT8,0.29248046875,1
INT8,0.82958984375,0
INT8,0.70703125,1
INT8,0.64404296875,1
INT8,0.634765625,1
INT8,0.5966796875,0
INT8,0.552734375,1
INT8,0.273193359375,0
INT8,0.88330078125,1
INT8,0.876953125,1
INT8,0.8642578125,1
INT8,0.77294921875,1
INT8,0.61572265625,1
INT8,0.302490234375,0
INT8,0.75537109375,1
INT8,0.64794921875,1
INT8,0.857421875,1
INT8,0.849609375,1
INT8,0.8310546875,1
INT8,0.7724609375,1
INT8,0.7158203125,1
INT8,0.68798828125,1
INT8,0.451904296875,1
INT8,0.326904296875,1
INT8,0.57666015625,1
INT8,0.402099609375,1
INT8,0.298095703125,1
INT8,0.580078125,0
INT8,0.410888671875,0
INT8,0.6923828125,1
INT8,0.669921875,1
INT8,0.640625,1
INT8,0.560546875,1
INT8,0.461181640625,1
INT8,0.432373046875,1
INT8,0.417724609375,1
INT8,0.404052734375,1
INT8,0.299072265625,0
INT8,0.279541015625,1
INT8,0.2734375,1
INT8,0.263671875,1
INT8,0.9541015625,1
INT8,0.888671875,1
INT8,0.85107421875,1
INT8,0.52490234375,0
INT8,0.346923828125,1
INT8,0.322509765625,0
INT8,0.57470703125,1
INT8,0.5263671875,1
INT8,0.49853515625,0
INT8,0.37646484375,1
INT8,0.302490234375,0
INT8,0.2734375,0
INT8,0.9453125,1
INT8,0.931640625,1
INT8,0.91357421875,1
INT8,0.8642578125,1
INT8,0.78515625,1
INT8,0.724609375,1
INT8,0.6044921875,1
INT8,0.4365234375,0
INT8,0.43310546875,0
INT8,0.28759765625,1
INT8,0.9990234375,1
INT8,0.5068359375,1
INT8,0.48291015625,0
INT8,0.916015625,1
INT8,0.89111328125,1
INT8,0.82177734375,1
INT8,0.6181640625,1
INT8,0.53466796875,1
INT8,0.51904296875,1
INT8,0.333740234375,0
INT8,0.31982421875,0
INT8,0.302490234375,0
INT8,0.273193359375,1
INT8,0.25830078125,1
INT8,0.95361328125,1
INT8,0.5830078125,1
INT8,0.56201171875,1
INT8,0.42919921875,1
INT8,0.404541015625,1
INT8,0.3212890625,0
INT8,0.93408203125,1
INT8,0.7919921875,1
INT8,0.93017578125,1
INT8,0.779296875,1
INT8,0.3603515625,0
INT8,0.3515625,1
INT8,0.3251953125,1
INT8,0.95263671875,1
INT8,0.84423828125,1
INT8,0.91943359375,1
INT8,0.8857421875,1
INT8,0.88720703125,1
INT8,0.875,0
INT8,0.8525390625,1
INT8,0.28173828125,0
INT8,0.96240234375,1
INT8,0.9326171875,1
INT8,0.91845703125,1
INT8,0.9072265625,1
INT8,0.90478515625,1
INT8,0.8828125,1
INT8,0.85888671875,1
INT8,0.84716796875,1
INT8,0.83740234375,0
INT8,0.80908203125,1
INT8,0.79931640625,1
INT8,0.79443359375,1
INT8,0.767578125,0
INT8,0.7568359375,0
INT8,0.7080078125,1
INT8,0.669921875,1
INT8,0.55126953125,0
INT8,0.5419921875,0
INT8,0.41357421875,0
INT8,0.295166015625,1
INT8,0.8076171875,1
INT8,0.490966796875,0
INT8,0.462890625,1
INT8,0.380126953125,0
INT8,0.276611328125,1
INT8,0.89111328125,1
INT8,0.64892578125,1
INT8,0.40087890625,1
INT8,0.939453125,1
INT8,0.7666015625,1
INT8,0.6123046875,1
INT8,0.5224609375,1
INT8,0.43310546875,0
INT8,0.3994140625,0
INT8,0.92431640625,1
INT8,0.873046875,1
INT8,0.95361328125,1
INT8,0.79736328125,1
INT8,0.92431640625,1
INT8,0.8759765625,1
INT8,0.88818359375,1
INT8,0.46240234375,0
INT8,0.3203125,0
INT8,0.265869140625,0
INT8,0.250244140625,0
INT8,0.88818359375,1
INT8,0.88525390625,1
INT8,0.83544921875,1
INT8,0.82470703125,1
INT8,0.7119140625,1
INT8,0.321533203125,1
INT8,0.303955078125,1
INT8,0.91162109375,1
INT8,0.6591796875,1
INT8,0.8701171875,1
INT8,0.9072265625,1
INT8,0.9384765625,1
INT8,0.794921875,1
INT8,0.45361328125,1
INT8,0.703125,1
INT8,0.64892578125,1
INT8,0.599609375,1
INT8,0.5810546875,1
INT8,0.56640625,1
INT8,0.517578125,1
INT8,0.4443359375,1
INT8,0.90771484375,1
INT8,0.79931640625,1
INT8,0.25146484375,0
INT8,0.861328125,1
INT8,0.8271484375,1
INT8,0.68994140625,0
INT8,0.64794921875,1
INT8,0.59033203125,1
INT8,0.55126953125,1
INT8,0.5146484375,1
INT8,0.481201171875,1
INT8,0.268310546875,1
INT8,0.8642578125,1
INT8,0.849609375,1
INT8,0.84912109375,1
INT8,0.625,1
INT8,0.254150390625,0
INT8,0.95263671875,1
INT8,0.90771484375,1
INT8,0.90283203125,1
INT8,0.845703125,1
INT8,0.8037109375,1
INT8,0.794921875,1
INT8,0.751953125,1
INT8,0.7177734375,1
INT8,0.6845703125,1
INT8,0.63916015625,1
INT8,0.6318359375,1
INT8,0.5537109375,1
INT8,0.3671875,1
INT8,0.2958984375,0
INT8,0.251953125,1
INT8,0.91357421875,1
